canonical_code,basis_grams,kcal,protein_g,fat_g,carbohydrates_g,fiber_g,source_name,source_id,source_version,source_data_type,source_description,energy_nutrient_id,verified_at,estimated
TOMATO_CRUSHED,100,32.313665,1.437500,0.397500,7.137000,1.944000,USDA_FDC,2685581,2026-04-30,Foundation,"Tomatoes, crushed, canned",2048,2026-09-04T00:00:00Z,
TOMATO_PASTE_NO_SALT,100,88.534506,4.234375,0.732500,20.188125,4.704000,USDA_FDC,2685580,2026-04-30,Foundation,"Tomato, paste, canned, without salt added",2048,2026-09-04T00:00:00Z,
TORTILLA_WHOLE_WHEAT,100,310.000000,9.760000,9.760000,45.890000,9.800000,USDA_FDC,174081,2018-04,SR Legacy,"Tortillas, ready-to-bake or -fry, whole wheat",1008,2026-09-04T00:00:00Z,
TURKEY_DRUMSTICK_SMOKED_COOKED,100,200.000000,27.900000,9.800000,0.000000,0.000000,USDA_FDC,167710,2018-04,SR Legacy,"Turkey, drumstick, smoked, cooked, with skin, bone removed",1008,2026-09-04T00:00:00Z,
TURMERIC_GROUND,100,312.000000,9.680000,3.250000,67.140000,22.700000,USDA_FDC,172231,2018-04,SR Legacy,"Spices, turmeric, ground",1008,2026-09-04T00:00:00Z,
VANILLA_EXTRACT,100,288.000000,0.060000,0.060000,12.650000,0.000000,USDA_FDC,173471,2018-04,SR Legacy,Vanilla extract,1008,2026-09-04T00:00:00Z,
VEGETABLE_BROTH,100,5.000000,0.240000,0.070000,0.930000,0.000000,USDA_FDC,171583,2018-04,SR Legacy,"Soup, vegetable broth, ready to serve",1008,2026-09-04T00:00:00Z,
VINEGAR_WHITE,100,18.000000,0.000000,0.000000,0.040000,0.000000,USDA_FDC,172237,2018-04,SR Legacy,"Vinegar, distilled",1008,2026-09-04T00:00:00Z,
WATER,100,0.000000,0.000000,0.000000,0.000000,0.000000,USDA_FDC,173647,2018-04,SR Legacy,"Beverages, water, tap, drinking",1008,2026-09-04T00:00:00Z,
YOGURT_GREEK_LOW_FAT,100,73.000000,9.950000,1.920000,3.940000,0.000000,USDA_FDC,170903,2018-04,SR Legacy,"Yogurt, Greek, plain, lowfat",1008,2026-09-04T00:00:00Z,
YOGURT_PLAIN_LOW_FAT,100,63.000000,5.250000,1.550000,7.040000,0.000000,USDA_FDC,170886,2018-04,SR Legacy,"Yogurt, plain, low fat",1008,2026-09-04T00:00:00Z,
