source_recipe_id,recipe_name,external_raw_status,mapping_class,strict_raw_triage,mapped_existing_rows,new_food_rows,form_split_rows,composite_process_rows,unresolved_rows,optional_rows,choice_groups,family_count_lead,optional_role_lead,substitution_lead,production_ready
USSR82-55,Салат из свежих огурцов,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,1,0,1,0,0,0,0,YES,NO,NO,NO
USSR82-58,Салат из свежих помидоров,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,2,0,1,0,0,0,0,YES,NO,NO,NO
USSR82-59,Салат из свежих помидоров и огурцов,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,3,0,1,0,0,0,0,YES,NO,NO,NO
USSR82-71,Салат картофельный,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,2,0,1,0,0,0,0,YES,NO,NO,NO
USSR82-81,Салат из белокочанной капусты,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,12,3,4,0,3,0,1,NO,NO,NO,NO
USSR82-83,Салат из квашеной капусты,READY_RAW,IDENTITY_REVIEW,NO,2,0,1,0,1,0,0,NO,NO,NO,NO
USSR82-95,"Салат из моркови или моркови с яблоками, финиками или черносливом",READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,3,0,1,0,0,0,0,YES,NO,NO,NO
USSR82-100,Салат мясной,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,3,1,1,1,1,0,0,NO,NO,NO,NO
USSR82-101,Салат столичный,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,2,2,2,0,0,0,0,YES,NO,NO,NO
USSR82-103,Винегрет овощной,READY_RAW,IDENTITY_REVIEW,NO,4,0,2,0,1,0,0,NO,NO,NO,NO
USSR82-175,Борщ,READY_RAW,PROCESS_REVIEW,YES,5,1,1,1,0,0,0,NO,NO,NO,NO
USSR82-176,Борщ с капустой и картофелем,READY_RAW,IDENTITY_REVIEW,NO,6,2,2,1,1,0,1,NO,NO,NO,NO
USSR82-177,Борщ с картофелем,READY_RAW,IDENTITY_REVIEW,NO,5,2,1,1,1,0,0,NO,NO,NO,NO
USSR82-178,Борщ с черносливом и грибами,READY_RAW,IDENTITY_REVIEW,NO,5,2,4,1,1,0,0,NO,NO,NO,NO
USSR82-179,Борщ московский,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,6,1,1,2,1,0,0,NO,NO,NO,NO
USSR82-180,Борщ флотский,READY_RAW,IDENTITY_REVIEW,NO,6,2,2,1,1,0,1,NO,NO,NO,NO
USSR82-181,Борщ с фасолью,READY_RAW,IDENTITY_REVIEW,YES,5,1,1,1,1,0,0,NO,NO,NO,NO
USSR82-182,Борщ с фасолью и картофелем,READY_RAW,IDENTITY_REVIEW,NO,6,2,1,1,2,0,0,NO,NO,NO,NO
USSR82-183,Борщ сибирский,READY_RAW,IDENTITY_REVIEW,NO,7,2,1,1,2,0,1,NO,NO,NO,NO
USSR82-184,Фрикадельки мясные,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,6,3,0,0,0,0,0,NO,NO,NO,NO
USSR82-185,Борщ с клецками,READY_RAW,IDENTITY_REVIEW,NO,6,3,2,1,1,0,1,NO,NO,NO,NO
USSR82-186,Борщ зеленый,READY_RAW,IDENTITY_REVIEW,NO,26,9,2,0,4,0,1,NO,NO,NO,NO
USSR82-187,Борщ летний (с ботвой свеклы),PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,14,12,3,3,4,0,2,NO,NO,NO,NO
USSR82-188,Борщ из сушеных овощей,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,2,2,6,1,1,0,0,NO,NO,NO,NO
USSR82-189,Борщ украинский,READY_RAW,PROCESS_REVIEW,YES,9,2,1,1,0,0,0,NO,NO,NO,NO
USSR82-190,Пампушки с чесноком,READY_RAW,IDENTITY_REVIEW,YES,5,1,0,0,2,0,0,NO,NO,NO,NO
USSR82-191,Борщ полтавский с галушками,READY_RAW,IDENTITY_REVIEW,NO,9,3,1,1,1,0,1,NO,NO,NO,NO
USSR82-192,Борщ (из полуфабриката),READY_RAW,IDENTITY_REVIEW,NO,1,0,1,1,1,0,1,NO,NO,NO,NO
USSR82-193,Борщ с картофелем (из полуфабриката),READY_RAW,IDENTITY_REVIEW,NO,1,0,0,1,1,0,0,NO,NO,NO,NO
USSR82-194,Борщ с капустой и картофелем (из полуфабриката),READY_RAW,IDENTITY_REVIEW,NO,2,0,1,1,1,0,1,NO,NO,NO,NO
USSR82-195,Борщ с фасолью (из полуфабриката),READY_RAW,IDENTITY_REVIEW,NO,1,0,1,1,2,0,1,NO,NO,NO,NO
USSR82-196,Щи из свежей капусты,NO_RELATIONSHIPS,RAW_EVIDENCE_REVIEW,NO,0,0,0,0,0,0,0,NO,NO,NO,NO
USSR82-197,Щи из свежей капусты с картофелем,READY_RAW,IDENTITY_REVIEW,NO,4,1,1,0,1,0,0,NO,NO,NO,NO
USSR82-198,Щи зеленые,READY_RAW,IDENTITY_REVIEW,NO,20,8,1,0,4,0,1,NO,NO,NO,NO
USSR82-199,Щи из щавеля,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,2,3,2,0,1,0,0,NO,NO,NO,NO
USSR82-200,Щи из сушеных овощей,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,1,1,5,1,1,0,0,NO,NO,NO,NO
USSR82-201,Щи из квашеной капусты,READY_RAW,IDENTITY_REVIEW,NO,6,2,3,2,2,0,0,NO,NO,NO,NO
USSR82-202,Щи суточные,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,8,2,3,4,2,0,0,NO,NO,NO,NO
USSR82-203,Щи из квашеной капусты с картофелем,READY_RAW,IDENTITY_REVIEW,NO,7,2,3,2,2,0,0,NO,NO,NO,NO
USSR82-204,Щи по-уральски (с крупой),READY_RAW,IDENTITY_REVIEW,NO,5,2,3,2,4,0,1,NO,NO,NO,NO
USSR82-205,Щи из капусты квашеной тушеной,READY_RAW,IDENTITY_REVIEW,NO,0,0,0,1,1,0,0,NO,NO,NO,NO
USSR82-206,Рассольник,READY_RAW,IDENTITY_REVIEW,NO,2,1,1,0,1,0,0,NO,NO,NO,NO
USSR82-207,Рассольник домашний,READY_RAW,IDENTITY_REVIEW,NO,8,3,4,0,2,0,0,NO,NO,NO,NO
USSR82-208,Рассольник ленинградский,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,3,1,2,0,0,0,0,YES,NO,NO,NO
USSR82-209,Рассольник московский,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,5,3,4,0,1,0,2,NO,NO,NO,NO
USSR82-210,Рассольник по-россошански,READY_RAW,IDENTITY_REVIEW,NO,5,5,3,2,2,0,1,NO,NO,NO,NO
USSR82-211,Рассольник (из полуфабриката),READY_RAW,IDENTITY_REVIEW,NO,2,1,0,1,1,0,1,NO,NO,NO,NO
USSR82-212,Рассольник домашний (из полуфабриката),READY_RAW,IDENTITY_REVIEW,NO,2,0,0,1,1,0,0,NO,NO,NO,NO
