source_recipe_id,recipe_name,external_raw_status,mapping_class,strict_raw_triage,mapped_existing_rows,new_food_rows,form_split_rows,composite_process_rows,unresolved_rows,optional_rows,choice_groups,family_count_lead,optional_role_lead,substitution_lead,production_ready
USSR82-341,"Овощи, припущенные в молочном или сметанном соусе",READY_RAW,PROCESS_REVIEW,NO,14,6,0,6,0,0,3,NO,NO,NO,NO
USSR82-342,Капуста тушеная,READY_RAW,PROCESS_REVIEW,YES,5,1,0,1,0,0,0,NO,NO,NO,NO
USSR82-343,"Капуста, тушенная с грибами",READY_RAW,IDENTITY_REVIEW,NO,3,3,3,4,3,0,1,NO,NO,NO,NO
USSR82-344,"Свекла, тушенная в сметане или соусе",READY_RAW,IDENTITY_REVIEW,NO,5,3,0,2,2,0,1,NO,NO,NO,NO
USSR82-345,"Свекла, тушенная с яблоками",READY_RAW,PROCESS_REVIEW,NO,5,0,0,1,0,0,0,NO,NO,NO,NO
USSR82-346,"Морковь, тушенная с рисом и черносливом",READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,6,3,7,0,0,0,0,YES,NO,NO,NO
USSR82-347,"Картофель и овощи, тушенные в соусе",READY_RAW,PROCESS_REVIEW,NO,13,6,2,9,0,0,1,NO,NO,NO,NO
USSR82-348,Рагу из овощей,NO_RELATIONSHIPS,RAW_EVIDENCE_REVIEW,NO,0,0,0,0,0,0,0,NO,NO,NO,NO
USSR82-349,Рагу овощное с кашей,READY_RAW,PROCESS_REVIEW,NO,6,1,2,1,0,0,1,NO,NO,NO,NO
USSR82-350,"Картофель, тушенный с грибами и луком или луком и помидорами",READY_RAW,PROCESS_REVIEW,NO,12,14,2,6,0,0,2,NO,NO,NO,NO
USSR82-351,"Картофель, тушенный с сухофруктами",READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,4,2,1,0,0,0,0,YES,NO,NO,NO
USSR82-352,Грибы с картофелем или с картофелем и помидорами,READY_RAW,IDENTITY_REVIEW,NO,10,9,3,2,2,0,2,NO,NO,NO,NO
USSR82-353,"Картофель, жаренный ломтиками (из отварного)",READY_RAW,IDENTITY_REVIEW,NO,3,5,0,0,1,0,0,NO,NO,NO,NO
