source_recipe_id,recipe_name,external_raw_status,mapping_class,strict_raw_triage,mapped_existing_rows,new_food_rows,form_split_rows,composite_process_rows,unresolved_rows,optional_rows,choice_groups,family_count_lead,optional_role_lead,substitution_lead,production_ready
USSR82-631,Жаркое по-домашнему,READY_RAW,IDENTITY_REVIEW,NO,2,1,0,1,1,0,0,NO,NO,NO,NO
USSR82-632,Гуляш,READY_RAW,IDENTITY_REVIEW,NO,2,1,0,1,1,0,0,NO,NO,NO,NO
USSR82-637,Азу,READY_RAW,IDENTITY_REVIEW,NO,4,1,1,1,1,0,0,NO,NO,NO,NO
USSR82-642,Плов,READY_RAW,IDENTITY_REVIEW,NO,6,9,3,3,6,0,1,NO,NO,NO,NO
USSR82-658,"Котлеты, биточки, шницели",READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,1,2,2,0,0,0,0,NO,NO,NO,NO
USSR82-661,Котлеты домашние,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,5,3,3,0,0,0,0,NO,NO,NO,NO
USSR82-668,Тефтели (1-й вариант),PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,6,14,4,18,0,0,4,NO,NO,NO,NO
USSR82-669,Тефтели (2-й вариант),READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,3,3,1,0,0,0,0,NO,NO,NO,NO
USSR82-671,Биточки паровые,READY_RAW,PROCESS_REVIEW,NO,9,12,6,21,0,6,5,NO,YES,NO,NO
USSR82-680,Запеканка картофельная или рулет картофельный с мясом или субпродуктами,READY_RAW,PROCESS_REVIEW,NO,4,16,2,6,0,0,2,NO,NO,NO,NO
USSR82-690,Голубцы с мясом и рисом,READY_RAW,PROCESS_REVIEW,NO,4,4,2,4,0,0,1,NO,NO,NO,NO
USSR82-697,"Птица, дичь или кролик отварные с гарниром",READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,1,1,0,0,0,0,0,YES,NO,NO,NO
USSR82-702,"Рагу из птицы, дичи, кролика или субпродуктов",READY_RAW,PROCESS_REVIEW,YES,4,3,0,1,0,0,0,NO,NO,NO,NO
USSR82-720,Котлеты по-киевски,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,2,2,1,0,0,0,0,YES,NO,NO,NO
USSR82-732,"Котлеты рубленые из птицы, дичи или кролика с гарниром",READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,0,3,3,0,0,0,0,NO,NO,NO,NO
USSR82-736,"Биточки рубленые из птицы, дичи или кролика паровые под белым соусом с рисом",READY_RAW,PROCESS_REVIEW,NO,1,2,2,2,0,0,0,NO,NO,NO,NO
USSR82-738,Фрикадельки из кур или бройлеров-цыплят,READY_RAW,PROCESS_REVIEW,NO,1,2,2,1,0,0,0,NO,NO,NO,NO
USSR82-740,Суфле из кур или бройлеров-цыплят,READY_RAW,PROCESS_REVIEW,NO,2,1,0,2,0,0,0,NO,NO,NO,NO
USSR82-1081,Блины,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,5,2,0,0,0,0,0,YES,NO,NO,NO
USSR82-1082,Блинчики-полуфабрикат (оболочка),READY_RAW,IDENTITY_REVIEW,YES,4,0,1,0,1,0,0,NO,NO,NO,NO
USSR82-1083,"Блинчики с мясным, ливерным, творожным, яблочным фаршем, джемом, повидлом или вареньем",READY_RAW,PROCESS_REVIEW,NO,1,2,0,1,0,0,0,NO,NO,NO,NO
USSR82-1085,Оладьи,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,3,3,0,1,2,0,2,NO,NO,NO,NO
USSR82-1091,Пирожки печеные из дрожжевого теста,READY_RAW,IDENTITY_REVIEW,NO,1,2,0,1,1,0,0,NO,NO,NO,NO
USSR82-1098,Ватрушки,READY_RAW,PROCESS_REVIEW,NO,1,2,0,2,0,0,0,NO,NO,NO,NO
