source_recipe_id,recipe_name,external_raw_status,mapping_class,strict_raw_triage,mapped_existing_rows,new_food_rows,form_split_rows,composite_process_rows,unresolved_rows,optional_rows,choice_groups,family_count_lead,optional_role_lead,substitution_lead,production_ready
USSR82-253,Солянка из птицы или дичи,READY_RAW,IDENTITY_REVIEW,NO,6,10,2,4,4,0,1,NO,NO,NO,NO
USSR82-254,Солянка сборная из субпродуктов,READY_RAW,RAW_EVIDENCE_REVIEW,NO,6,11,2,4,2,0,0,NO,NO,NO,NO
USSR82-255,Солянка рыбная,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,9,18,3,9,1,0,1,NO,NO,NO,NO
USSR82-256,Солянка донская,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,15,9,6,9,0,0,0,NO,NO,NO,NO
USSR82-257,Солянка грибная,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,9,8,6,6,3,0,1,NO,NO,NO,NO
USSR82-258,Суп молочный с макаронными изделиями,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,12,0,3,0,0,0,1,YES,NO,YES,NO
USSR82-259,Суп молочный с крупой,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,18,9,9,0,0,0,1,YES,NO,YES,NO
USSR82-260,Суп молочный с тыквой и крупой,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,8,6,6,0,0,0,1,YES,NO,YES,NO
USSR82-261,Суп молочный с овощами,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,21,0,3,0,0,0,2,NO,NO,NO,NO
USSR82-262,Суп молочный с клецками,READY_RAW,PROCESS_REVIEW,YES,8,0,3,3,0,0,0,NO,NO,NO,NO
USSR82-263,Суп молочный с картофельными клецками,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,5,0,1,0,0,0,0,YES,NO,NO,NO
USSR82-264,Суп молочный с горохом и перловой крупой,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,6,2,2,0,0,0,0,YES,NO,NO,NO
USSR82-265,Пиена зупа ар спеки (суп молочный с копченостями),READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,4,0,2,0,0,0,0,NO,NO,NO,NO
USSR82-266,Суп-пюре из картофеля,READY_RAW,PROCESS_REVIEW,NO,17,1,5,3,0,0,0,NO,NO,NO,NO
USSR82-267,Суп-пюре из моркови или репы,READY_RAW,PROCESS_REVIEW,NO,17,0,7,3,0,2,1,NO,YES,NO,NO
USSR82-268,Суп-пюре из разных овощей,READY_RAW,PROCESS_REVIEW,NO,25,1,3,3,0,0,0,NO,NO,NO,NO
USSR82-269,Суп-пюре из кабачков или тыквы,READY_RAW,PROCESS_REVIEW,NO,19,6,4,3,0,0,1,NO,NO,NO,NO
USSR82-270,Суп-пюре из спаржи или цветной капусты,READY_RAW,PROCESS_REVIEW,NO,12,1,3,2,0,0,1,NO,NO,NO,NO
USSR82-271,Суп-пюре из шпината или салата,READY_RAW,PROCESS_REVIEW,NO,16,3,5,3,0,0,1,NO,NO,NO,NO
USSR82-272,Суп-пюре из бобовых,READY_RAW,IDENTITY_REVIEW,NO,12,4,2,3,3,0,2,NO,NO,NO,NO
USSR82-273,Суп-пюре из белой фасоли,READY_RAW,IDENTITY_REVIEW,NO,14,1,5,3,3,0,0,NO,NO,NO,NO
USSR82-274,Суп-пюре из зеленого горошка,READY_RAW,PROCESS_REVIEW,NO,17,0,7,3,0,0,1,NO,NO,NO,NO
USSR82-275,Суп-пюре из свежих грибов,READY_RAW,PROCESS_REVIEW,NO,12,2,3,2,0,0,1,NO,NO,NO,NO
USSR82-276,Суп-пюре из крупы перловой или рисовой,READY_RAW,PROCESS_REVIEW,NO,14,0,8,3,0,0,1,NO,NO,NO,NO
USSR82-277,Суп-пюре из птицы,READY_RAW,IDENTITY_REVIEW,NO,12,6,3,0,2,0,1,NO,NO,NO,NO
USSR82-278,Суп-пюре из печени,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,10,2,6,2,2,0,1,NO,NO,NO,NO
USSR82-279,Бульон мясной прозрачный,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,12,3,6,3,0,0,1,NO,NO,NO,NO
USSR82-280,Бульон из кур или индеек прозрачный,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,8,2,4,2,2,0,2,NO,NO,NO,NO
USSR82-281,Рис запеченный,READY_RAW,PROCESS_REVIEW,NO,4,2,2,2,0,0,0,NO,NO,NO,NO
USSR82-282,"Рис, запеченный с овощами",READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,8,4,6,0,0,0,1,NO,NO,NO,NO
USSR82-283,Овощи,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,11,5,4,0,0,0,2,NO,NO,NO,NO
USSR82-284,Овощи и зелень,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,17,6,5,0,0,0,3,NO,NO,NO,NO
USSR82-285,Овощи и яйца,READY_RAW,PROCESS_REVIEW,YES,1,0,0,2,0,0,1,NO,NO,YES,NO
USSR82-286,Капуста цветная или брюссельская,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,2,0,1,0,0,0,1,NO,NO,NO,NO
USSR82-287,Капуста савойская и овощи,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,9,1,6,0,0,0,0,NO,NO,NO,NO
USSR82-288,Омлет натуральный,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,6,0,2,0,0,0,0,YES,NO,NO,NO
USSR82-289,Клецки из кур с шампиньонами,READY_RAW,PROCESS_REVIEW,NO,5,1,1,1,0,0,0,NO,NO,NO,NO
USSR82-290,Борщок с гренками,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,10,4,4,4,0,0,0,NO,NO,NO,NO
USSR82-291,Суп из савойской капусты,READY_RAW,PROCESS_REVIEW,NO,8,3,5,2,0,0,0,NO,NO,NO,NO
USSR82-292,Рыбный бульон (уха) с фрикадельками,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,9,0,3,3,0,0,1,NO,NO,NO,NO
USSR82-293,Уха с расстегаями,READY_RAW,PROCESS_REVIEW,NO,4,0,2,2,0,0,1,NO,NO,NO,NO
USSR82-294,"Уха из стерляди или налима, или судака, или клыкача",READY_RAW,RAW_EVIDENCE_REVIEW,NO,8,8,2,2,0,0,2,NO,NO,NO,NO
USSR82-295,Уха ростовская,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,12,2,4,2,0,0,1,NO,NO,NO,NO
USSR82-296,Уха рыбацкая,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,15,6,6,0,0,0,2,NO,NO,NO,NO
USSR82-297,Хлебный квас,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,2,3,0,1,0,1,1,NO,NO,NO,NO
USSR82-298,Окрошка мясная,NO_RELATIONSHIPS,RAW_EVIDENCE_REVIEW,NO,0,0,0,0,0,0,0,NO,NO,NO,NO
USSR82-299,Окрошка сборная мясная,READY_RAW,IDENTITY_REVIEW,NO,13,7,3,0,9,0,0,NO,NO,NO,NO
USSR82-300,Окрошка овощная,READY_RAW,IDENTITY_REVIEW,NO,19,6,0,0,6,0,0,NO,NO,NO,NO
USSR82-301,Окрошка уральская,READY_RAW,IDENTITY_REVIEW,NO,16,6,3,0,6,0,0,NO,NO,NO,NO
USSR82-302,Окрошка мясная на кефире,READY_RAW,IDENTITY_REVIEW,NO,17,3,0,0,3,0,0,NO,NO,NO,NO
USSR82-303,Окрошка сборная мясная на кефире,READY_RAW,IDENTITY_REVIEW,NO,17,4,3,0,3,0,0,NO,NO,NO,NO
USSR82-304,Окрошка овощная на кефире,READY_RAW,PROCESS_REVIEW,NO,22,3,0,0,0,0,0,NO,NO,NO,NO
USSR82-305,Борщ холодный,READY_RAW,IDENTITY_REVIEW,NO,19,3,0,0,3,0,0,NO,NO,NO,NO
USSR82-306,Борщ холодный мясной,READY_RAW,IDENTITY_REVIEW,NO,18,3,0,0,6,0,0,NO,NO,NO,NO
USSR82-307,Борщ холодный рыбный,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,12,8,6,0,4,0,1,NO,NO,NO,NO
USSR82-308,Свекольник холодный,READY_RAW,IDENTITY_REVIEW,NO,17,6,0,0,3,0,0,NO,NO,NO,NO
USSR82-309,Щи зеленые с яйцом,READY_RAW,IDENTITY_REVIEW,NO,19,4,0,0,3,1,0,NO,YES,NO,NO
USSR82-310,Щи зеленые с мясом,READY_RAW,IDENTITY_REVIEW,NO,19,4,0,0,6,4,0,NO,YES,NO,NO
USSR82-311,Щи зеленые с рыбой,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,12,9,4,0,4,3,1,NO,NO,NO,NO
USSR82-312,Ботвинья,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,14,8,6,0,0,0,0,NO,NO,NO,NO
USSR82-313,Гарниры к сладким супам,NO_CALC_INPUTS,RAW_EVIDENCE_REVIEW,NO,0,0,0,0,0,0,0,NO,NO,NO,NO
USSR82-314,Суп из плодов свежих,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,37,9,0,0,0,0,0,NO,NO,NO,NO
USSR82-315,Суп из цитрусовых,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,4,2,0,0,0,1,1,NO,NO,NO,NO
USSR82-316,Суп из смеси сухофруктов,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,6,3,3,0,0,0,0,NO,NO,NO,NO
USSR82-317,Суп из плодов или ягод сушеных,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,36,42,9,0,0,17,0,NO,YES,NO,NO
