source_recipe_id,recipe_name,category,external_raw_status,mapping_class,strict_raw_triage,source_relationship_rows_v22_5,source_calc_rows_v22_13,source_relationship_rows_v22_13,relationship_compatibility_status,source_variant_count,source_variants,choice_groups,optional_row_count,boundary_review_reasons,source_structure_status,variant_selection_status,single_variant_required_ids,common_required_across_variants_ids,choice_group_ingredient_ids,optional_ingredient_ids,alternative_or_variant_only_ids,all_variant_union_ingredient_ids,existing_mapping_ids,dc2_required_ids,semantic_label_review_ids,production_ready,proposed_dc3_batch
USSR82-55,Салат из свежих огурцов,Холодные блюда,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,2,2,2,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,1,"III, сметана",,0,,SINGLE_VARIANT_NO_EXPLICIT_ALTERNATIVE,SIMPLE_SOURCE_BRANCH_CANDIDATE,ING-0037 | ING-0047,ING-0037 | ING-0047,,,,ING-0037 | ING-0047,ING-0037,ING-0047,,NO,DC3-B_CLEAN_BRANCH_AFTER_DC2
USSR82-58,Салат из свежих помидоров,Холодные блюда,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,3,3,3,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,1,"III, зеленый лук, сметана",,0,,SINGLE_VARIANT_NO_EXPLICIT_ALTERNATIVE,SIMPLE_SOURCE_BRANCH_CANDIDATE,ING-0027 | ING-0047 | ING-0058,ING-0027 | ING-0047 | ING-0058,,,,ING-0027 | ING-0047 | ING-0058,ING-0027 | ING-0058,ING-0047,,NO,DC3-B_CLEAN_BRANCH_AFTER_DC2
USSR82-59,Салат из свежих помидоров и огурцов,Холодные блюда,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,4,4,4,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,1,"III, зеленый лук, сметана",,0,,SINGLE_VARIANT_NO_EXPLICIT_ALTERNATIVE,SIMPLE_SOURCE_BRANCH_CANDIDATE,ING-0027 | ING-0037 | ING-0047 | ING-0058,ING-0027 | ING-0037 | ING-0047 | ING-0058,,,,ING-0027 | ING-0037 | ING-0047 | ING-0058,ING-0027 | ING-0037 | ING-0058,ING-0047,,NO,DC3-B_CLEAN_BRANCH_AFTER_DC2
USSR82-71,Салат картофельный,Холодные блюда,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,3,3,3,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,1,"зеленый лук, сметана",,0,,SINGLE_VARIANT_NO_EXPLICIT_ALTERNATIVE,SIMPLE_SOURCE_BRANCH_CANDIDATE,ING-0019 | ING-0027 | ING-0047,ING-0019 | ING-0027 | ING-0047,,,,ING-0019 | ING-0027 | ING-0047,ING-0019 | ING-0027,ING-0047,,NO,DC3-B_CLEAN_BRANCH_AFTER_DC2
USSR82-95,"Салат из моркови или моркови с яблоками, финиками или черносливом",Холодные блюда,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,4,4,4,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,1,II — с яблоками,,0,,SINGLE_VARIANT_NO_EXPLICIT_ALTERNATIVE,REVIEW_REQUIRED,,ING-0035 | ING-0042 | ING-0046 | ING-0070,,,,ING-0035 | ING-0042 | ING-0046 | ING-0070,ING-0035 | ING-0042 | ING-0070,ING-0046,ING-0035 | ING-0042 | ING-0046,NO,DC3-C_REVIEW_REQUIRED
USSR82-101,Салат столичный,Холодные блюда,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,6,6,6,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,1,"III, курица",,0,,SINGLE_VARIANT_NO_EXPLICIT_ALTERNATIVE,REVIEW_REQUIRED,,ING-0019 | ING-0025 | ING-0038 | ING-0071 | ING-0073 | ING-0074,,,,ING-0019 | ING-0025 | ING-0038 | ING-0071 | ING-0073 | ING-0074,ING-0019 | ING-0071,ING-0025 | ING-0038 | ING-0073 | ING-0074,ING-0025 | ING-0038,NO,DC3-C_REVIEW_REQUIRED
USSR82-184,Фрикадельки мясные,Супы,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,9,9,12,CALC_ROWS_MATCH_V22_13_HAS_ADDITIONAL_NONCALC_RELATIONSHIPS,3,beef | lamb | pork,,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0028 | ING-0071,,,ING-0009 | ING-0044 | ING-0113,ING-0009 | ING-0028 | ING-0044 | ING-0071 | ING-0113,ING-0028 | ING-0071,ING-0009 | ING-0044 | ING-0113,,NO,DC3-C_REVIEW_REQUIRED
USSR82-208,Рассольник ленинградский,Супы,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,6,6,6,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,1,selected_1982_variant,,0,,SINGLE_VARIANT_NO_EXPLICIT_ALTERNATIVE,REVIEW_REQUIRED,,ING-0019 | ING-0024 | ING-0028 | ING-0030 | ING-0035 | ING-0038,,,,ING-0019 | ING-0024 | ING-0028 | ING-0030 | ING-0035 | ING-0038,ING-0019 | ING-0028 | ING-0035,ING-0024 | ING-0030 | ING-0038,ING-0030 | ING-0035,NO,DC3-C_REVIEW_REQUIRED
USSR82-258,Суп молочный с макаронными изделиями,Супы,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,15,15,15,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,3,I | II | III,pasta,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0006 | ING-0032 | ING-0034 | ING-0042,ING-0029,,ING-0029,ING-0006 | ING-0029 | ING-0032 | ING-0034 | ING-0042,ING-0006 | ING-0029 | ING-0032 | ING-0042,ING-0034,ING-0029 | ING-0032 | ING-0034 | ING-0042,NO,DC3-C_REVIEW_REQUIRED
USSR82-259,Суп молочный с крупой,Супы,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,36,36,36,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,3,I | II | III,grain,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0006 | ING-0032 | ING-0034 | ING-0042,ING-0020 | ING-0021 | ING-0022 | ING-0023 | ING-0024 | ING-0064 | ING-0209 | ING-0210,,ING-0020 | ING-0021 | ING-0022 | ING-0023 | ING-0024 | ING-0064 | ING-0209 | ING-0210,ING-0006 | ING-0020 | ING-0021 | ING-0022 | ING-0023 | ING-0024 | ING-0032 | ING-0034 | ING-0042 | ING-0064 | ING-0209 | ING-0210,ING-0006 | ING-0020 | ING-0022 | ING-0032 | ING-0042 | ING-0064,ING-0021 | ING-0023 | ING-0024 | ING-0034 | ING-0209 | ING-0210,ING-0020 | ING-0032 | ING-0034 | ING-0042,NO,DC3-C_REVIEW_REQUIRED
