source_recipe_id,recipe_name,category,external_raw_status,mapping_class,strict_raw_triage,source_relationship_rows_v22_5,source_calc_rows_v22_13,source_relationship_rows_v22_13,relationship_compatibility_status,source_variant_count,source_variants,choice_groups,optional_row_count,boundary_review_reasons,source_structure_status,variant_selection_status,single_variant_required_ids,common_required_across_variants_ids,choice_group_ingredient_ids,optional_ingredient_ids,alternative_or_variant_only_ids,all_variant_union_ingredient_ids,existing_mapping_ids,dc2_required_ids,semantic_label_review_ids,production_ready,proposed_dc3_batch
USSR82-288,Омлет натуральный,Супы,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,8,8,10,CALC_ROWS_MATCH_V22_13_HAS_ADDITIONAL_NONCALC_RELATIONSHIPS,2,I | II,,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0032 | ING-0034 | ING-0050 | ING-0071,,,,ING-0032 | ING-0034 | ING-0050 | ING-0071,ING-0032 | ING-0050 | ING-0071,ING-0034,ING-0032 | ING-0034,NO,DC3-C_REVIEW_REQUIRED
USSR82-296,Уха рыбацкая,Супы,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,27,27,33,CALC_ROWS_MATCH_V22_13_HAS_ADDITIONAL_NONCALC_RELATIONSHIPS,3,I | II | III,fish | greens,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0006 | ING-0019 | ING-0028 | ING-0032 | ING-0041,ING-0078 | ING-0175 | ING-0195 | ING-0207,,ING-0078 | ING-0175 | ING-0195 | ING-0207,ING-0006 | ING-0019 | ING-0028 | ING-0032 | ING-0041 | ING-0078 | ING-0175 | ING-0195 | ING-0207,ING-0006 | ING-0019 | ING-0028 | ING-0032 | ING-0078,ING-0041 | ING-0175 | ING-0195 | ING-0207,ING-0032,NO,DC3-C_REVIEW_REQUIRED
USSR82-312,Ботвинья,Супы,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,28,28,28,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,3,I | II | III,,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0027 | ING-0037 | ING-0042 | ING-0116 | ING-0117 | ING-0197 | ING-0207 | ING-0221,,,ING-0026 | ING-0073,ING-0026 | ING-0027 | ING-0037 | ING-0042 | ING-0073 | ING-0116 | ING-0117 | ING-0197 | ING-0207 | ING-0221,ING-0026 | ING-0027 | ING-0037 | ING-0042 | ING-0117,ING-0073 | ING-0116 | ING-0197 | ING-0207 | ING-0221,ING-0042,NO,DC3-C_REVIEW_REQUIRED
USSR82-314,Суп из плодов свежих,Супы,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,46,46,46,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,9,I-mixed | I-single-ING-0070 | I-single-ING-0227 | II-mixed | II-single-ING-0070 | II-single-ING-0227 | III-mixed | III-single-ING-0070 | III-single-ING-0227,,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0006 | ING-0042 | ING-0229,,,ING-0070 | ING-0227 | ING-0228 | ING-0230,ING-0006 | ING-0042 | ING-0070 | ING-0227 | ING-0228 | ING-0229 | ING-0230,ING-0006 | ING-0042 | ING-0070 | ING-0227 | ING-0228 | ING-0230,ING-0229,ING-0042,NO,DC3-C_REVIEW_REQUIRED
USSR82-317,Суп из плодов или ягод сушеных,Супы,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,87,87,87,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,17,I-ING-0066 | I-ING-0079 | I-ING-0234 | I-ING-0235 | I-ING-0236 | I-ING-0237 | II-ING-0066 | II-ING-0079 | II-ING-0234 | II-ING-0235 | II-ING-0236 | II-ING-0237 | III-ING-0066 | III-ING-0079 | III-ING-0234 | III-ING-0235 | III-ING-0237,,17,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0006 | ING-0042 | ING-0229,,ING-0104,ING-0066 | ING-0079 | ING-0104 | ING-0230 | ING-0234 | ING-0235 | ING-0236 | ING-0237,ING-0006 | ING-0042 | ING-0066 | ING-0079 | ING-0104 | ING-0229 | ING-0230 | ING-0234 | ING-0235 | ING-0236 | ING-0237,ING-0006 | ING-0042 | ING-0230,ING-0066 | ING-0079 | ING-0104 | ING-0229 | ING-0234 | ING-0235 | ING-0236 | ING-0237,ING-0042,NO,DC3-C_REVIEW_REQUIRED
USSR82-318,"Суп из ревеня, кураги и яблок",Супы,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,6,6,6,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,1,single,,0,,SINGLE_VARIANT_NO_EXPLICIT_ALTERNATIVE,REVIEW_REQUIRED,,ING-0006 | ING-0042 | ING-0070 | ING-0229 | ING-0236 | ING-0238,,,,ING-0006 | ING-0042 | ING-0070 | ING-0229 | ING-0236 | ING-0238,ING-0006 | ING-0042 | ING-0070,ING-0229 | ING-0236 | ING-0238,ING-0042,NO,DC3-C_REVIEW_REQUIRED
USSR82-319,Суп-пюре из плодов или ягод свежих,Супы,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,123,123,123,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,30,I-ING-0070 | I-ING-0228 | I-ING-0239 | I-ING-0240 | I-ING-0241 | I-ING-0242 | I-ING-0243 | I-ING-0244 | I-ING-0245 | I-ING-0246 | II-ING-0070 | II-ING-0228 | II-ING-0239 | II-ING-0240 | II-ING-0241 | II-ING-0242 | II-ING-0243 | II-ING-0244 | II-ING-0245 | II-ING-0246 | III-ING-0070 | III-ING-0228 | III-ING-0239 | III-ING-0240 | III-ING-0241 | III-ING-0242 | III-ING-0243 | III-ING-0244 | III-ING-0245 | III-ING-0246,,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0006 | ING-0042 | ING-0229,,,ING-0070 | ING-0228 | ING-0230 | ING-0239 | ING-0240 | ING-0241 | ING-0242 | ING-0243 | ING-0244 | ING-0245 | ING-0246,ING-0006 | ING-0042 | ING-0070 | ING-0228 | ING-0229 | ING-0230 | ING-0239 | ING-0240 | ING-0241 | ING-0242 | ING-0243 | ING-0244 | ING-0245 | ING-0246,ING-0006 | ING-0042 | ING-0070 | ING-0228 | ING-0230 | ING-0239 | ING-0243 | ING-0244 | ING-0245,ING-0229 | ING-0240 | ING-0241 | ING-0242 | ING-0246,ING-0042,NO,DC3-C_REVIEW_REQUIRED
USSR82-320,Суп-пюре из плодов сушеных,Супы,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,6,6,6,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,1,single,,0,,SINGLE_VARIANT_NO_EXPLICIT_ALTERNATIVE,REVIEW_REQUIRED,,ING-0006 | ING-0042 | ING-0229 | ING-0230 | ING-0234 | ING-0236,,,,ING-0006 | ING-0042 | ING-0229 | ING-0230 | ING-0234 | ING-0236,ING-0006 | ING-0042 | ING-0230,ING-0229 | ING-0234 | ING-0236,ING-0042,NO,DC3-C_REVIEW_REQUIRED
USSR82-322,Суп с пивом (сладкий),Супы,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,5,5,6,CALC_ROWS_MATCH_V22_13_HAS_ADDITIONAL_NONCALC_RELATIONSHIPS,1,single,,0,,SINGLE_VARIANT_NO_EXPLICIT_ALTERNATIVE,REVIEW_REQUIRED,,ING-0034 | ING-0042 | ING-0063 | ING-0071 | ING-0248,,,,ING-0034 | ING-0042 | ING-0063 | ING-0071 | ING-0248,ING-0042 | ING-0071,ING-0034 | ING-0063 | ING-0248,ING-0034 | ING-0042 | ING-0063,NO,DC3-C_REVIEW_REQUIRED
USSR82-323,Картофель отварной,"Картофель, овощи и грибы",READY_RAW,DIRECT_EXISTING_MAP_LEAD,YES,2,2,2,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,1,"III, с маслом",,0,,SINGLE_VARIANT_NO_EXPLICIT_ALTERNATIVE,REVIEW_REQUIRED,,ING-0019 | ING-0032,,,,ING-0019 | ING-0032,ING-0019 | ING-0032,,ING-0032,NO,DC3-C_REVIEW_REQUIRED
USSR82-324,"Картофель отварной с луком или грибами, или луком и грибами","Картофель, овощи и грибы",READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,25,25,33,CALC_ROWS_MATCH_V22_13_HAS_ADDITIONAL_NONCALC_RELATIONSHIPS,9,I | I-mushrooms | I-onion | I-service | II | II-mushrooms | II-onion | III | III-mushrooms,final_fat | mushroom | potato_age,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,,ING-0019 | ING-0030 | ING-0032 | ING-0093 | ING-0107 | ING-0142,,ING-0019 | ING-0028 | ING-0030 | ING-0032 | ING-0093 | ING-0107 | ING-0142,ING-0019 | ING-0028 | ING-0030 | ING-0032 | ING-0093 | ING-0107 | ING-0142,ING-0019 | ING-0028 | ING-0032 | ING-0142,ING-0030 | ING-0093 | ING-0107,ING-0030 | ING-0032,NO,DC3-C_REVIEW_REQUIRED
USSR82-325,Картофель в молоке,"Картофель, овощи и грибы",READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,9,9,9,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,3,I | II | III,,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0019 | ING-0032 | ING-0034,,,,ING-0019 | ING-0032 | ING-0034,ING-0019 | ING-0032,ING-0034,ING-0032 | ING-0034,NO,DC3-C_REVIEW_REQUIRED
USSR82-326,Картофельное пюре,"Картофель, овощи и грибы",READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,3,3,3,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,1,"III, с маслом",,0,,SINGLE_VARIANT_NO_EXPLICIT_ALTERNATIVE,REVIEW_REQUIRED,,ING-0019 | ING-0032 | ING-0034,,,,ING-0019 | ING-0032 | ING-0034,ING-0019 | ING-0032,ING-0034,ING-0032 | ING-0034,NO,DC3-C_REVIEW_REQUIRED
USSR82-328,Тыква отварная,"Картофель, овощи и грибы",READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,6,6,8,CALC_ROWS_MATCH_V22_13_HAS_ADDITIONAL_NONCALC_RELATIONSHIPS,2,II | III,,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0032 | ING-0053 | ING-0145,,,,ING-0032 | ING-0053 | ING-0145,ING-0032,ING-0053 | ING-0145,ING-0032 | ING-0053,NO,DC3-C_REVIEW_REQUIRED
USSR82-340,Каша из тыквы,"Картофель, овощи и грибы",READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,18,18,21,CALC_ROWS_MATCH_V22_13_HAS_ADDITIONAL_NONCALC_RELATIONSHIPS,3,I | II | III,final_fat,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0021 | ING-0030 | ING-0042 | ING-0145,ING-0030 | ING-0032,,ING-0032,ING-0021 | ING-0030 | ING-0032 | ING-0042 | ING-0145,ING-0032 | ING-0042,ING-0021 | ING-0030 | ING-0145,ING-0030 | ING-0032 | ING-0042,NO,DC3-C_REVIEW_REQUIRED
USSR82-346,"Морковь, тушенная с рисом и черносливом","Картофель, овощи и грибы",READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,16,16,19,CALC_ROWS_MATCH_V22_13_HAS_ADDITIONAL_NONCALC_RELATIONSHIPS,3,I | II | III,,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0030 | ING-0035 | ING-0041 | ING-0042,,,ING-0024 | ING-0066,ING-0024 | ING-0030 | ING-0035 | ING-0041 | ING-0042 | ING-0066,ING-0035 | ING-0042,ING-0024 | ING-0030 | ING-0041 | ING-0066,ING-0030 | ING-0035 | ING-0042,NO,DC3-C_REVIEW_REQUIRED
USSR82-351,"Картофель, тушенный с сухофруктами","Картофель, овощи и грибы",READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,7,7,7,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,1,single,,0,,SINGLE_VARIANT_NO_EXPLICIT_ALTERNATIVE,REVIEW_REQUIRED,,ING-0019 | ING-0030 | ING-0036 | ING-0042 | ING-0066 | ING-0079 | ING-0230,,,,ING-0019 | ING-0030 | ING-0036 | ING-0042 | ING-0066 | ING-0079 | ING-0230,ING-0019 | ING-0036 | ING-0042 | ING-0230,ING-0030 | ING-0066 | ING-0079,ING-0030 | ING-0036 | ING-0042,NO,DC3-C_REVIEW_REQUIRED
USSR82-355,"Картофель, жаренный во фритюре брусочками","Картофель, овощи и грибы",READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,10,10,13,CALC_ROWS_MATCH_V22_13_HAS_ADDITIONAL_NONCALC_RELATIONSHIPS,3,I | II | III,final_fat,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0014 | ING-0019,ING-0030 | ING-0032,,ING-0030 | ING-0032,ING-0014 | ING-0019 | ING-0030 | ING-0032,ING-0019 | ING-0032,ING-0014 | ING-0030,ING-0030 | ING-0032,NO,DC3-C_REVIEW_REQUIRED
USSR82-361,Котлеты морковные,"Картофель, овощи и грибы",READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,7,7,7,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,1,"III, с жиром",,0,,SINGLE_VARIANT_NO_EXPLICIT_ALTERNATIVE,REVIEW_REQUIRED,,ING-0006 | ING-0014 | ING-0021 | ING-0030 | ING-0032 | ING-0035 | ING-0053,,,,ING-0006 | ING-0014 | ING-0021 | ING-0030 | ING-0032 | ING-0035 | ING-0053,ING-0006 | ING-0032 | ING-0035,ING-0014 | ING-0021 | ING-0030 | ING-0053,ING-0030 | ING-0032 | ING-0035 | ING-0053,NO,DC3-C_REVIEW_REQUIRED
USSR82-364,Шницель из капусты,"Картофель, овощи и грибы",READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,6,6,6,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,1,III — с маслом,,0,,SINGLE_VARIANT_NO_EXPLICIT_ALTERNATIVE,REVIEW_REQUIRED,,ING-0014 | ING-0017 | ING-0032 | ING-0036 | ING-0053 | ING-0071,,,,ING-0014 | ING-0017 | ING-0032 | ING-0036 | ING-0053 | ING-0071,ING-0017 | ING-0032 | ING-0036 | ING-0071,ING-0014 | ING-0053,ING-0032 | ING-0036 | ING-0053,NO,DC3-C_REVIEW_REQUIRED
USSR82-365,Капуста жареная,"Картофель, овощи и грибы",READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,20,20,23,CALC_ROWS_MATCH_V22_13_HAS_ADDITIONAL_NONCALC_RELATIONSHIPS,3,I | II | III,cabbage | fat,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,,ING-0017 | ING-0018 | ING-0030 | ING-0032 | ING-0191 | ING-0267,,ING-0017 | ING-0018 | ING-0030 | ING-0032 | ING-0053 | ING-0071 | ING-0191 | ING-0267,ING-0017 | ING-0018 | ING-0030 | ING-0032 | ING-0053 | ING-0071 | ING-0191 | ING-0267,ING-0017 | ING-0018 | ING-0032 | ING-0071,ING-0030 | ING-0053 | ING-0191 | ING-0267,ING-0030 | ING-0032 | ING-0053,NO,DC3-C_REVIEW_REQUIRED
USSR82-374,"Картофель, запеченный с яйцом и помидорами","Картофель, овощи и грибы",READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,25,25,38,CALC_ROWS_MATCH_V22_13_HAS_ADDITIONAL_NONCALC_RELATIONSHIPS,3,I | II | III,onion | potato_prep,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0030 | ING-0071,ING-0019 | ING-0027 | ING-0028,,ING-0019 | ING-0027 | ING-0028 | ING-0058,ING-0019 | ING-0027 | ING-0028 | ING-0030 | ING-0058 | ING-0071,ING-0019 | ING-0027 | ING-0028 | ING-0058 | ING-0071,ING-0030,ING-0030,NO,DC3-C_REVIEW_REQUIRED
USSR82-380,Рулет или запеканка картофельные с овощами или овощами и грибами,"Картофель, овощи и грибы",READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,7,7,7,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,1,"III — свежая капуста, со сметаной",,0,,SINGLE_VARIANT_NO_EXPLICIT_ALTERNATIVE,REVIEW_REQUIRED,,ING-0017 | ING-0019 | ING-0030 | ING-0046 | ING-0053 | ING-0071,,,,ING-0017 | ING-0019 | ING-0030 | ING-0046 | ING-0053 | ING-0071,ING-0017 | ING-0019 | ING-0071,ING-0030 | ING-0046 | ING-0053,ING-0030 | ING-0046 | ING-0053,NO,DC3-C_REVIEW_REQUIRED
USSR82-412,Каша вязкая с тыквой,Крупы и каши,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,28,28,28,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,4,II-millet_wheat | II-rice | III-millet_wheat | III-rice,fat | grain,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0034 | ING-0042 | ING-0145,ING-0023 | ING-0030 | ING-0032 | ING-0163,,ING-0006 | ING-0023 | ING-0024 | ING-0030 | ING-0032 | ING-0163,ING-0006 | ING-0023 | ING-0024 | ING-0030 | ING-0032 | ING-0034 | ING-0042 | ING-0145 | ING-0163,ING-0006 | ING-0032 | ING-0042,ING-0023 | ING-0024 | ING-0030 | ING-0034 | ING-0145 | ING-0163,ING-0030 | ING-0032 | ING-0034 | ING-0042,NO,DC3-C_REVIEW_REQUIRED
USSR82-413,Каша вязкая с черносливом,Крупы и каши,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,42,42,42,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,6,I-rice_hercules | I-wheat_millet | II-rice_hercules | II-wheat_millet | III-rice_hercules | III-wheat_millet,fat | grain,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0006 | ING-0042 | ING-0066,ING-0023 | ING-0024 | ING-0030 | ING-0032 | ING-0064 | ING-0163,,ING-0023 | ING-0024 | ING-0030 | ING-0032 | ING-0064 | ING-0163,ING-0006 | ING-0023 | ING-0024 | ING-0030 | ING-0032 | ING-0042 | ING-0064 | ING-0066 | ING-0163,ING-0006 | ING-0032 | ING-0042 | ING-0064,ING-0023 | ING-0024 | ING-0030 | ING-0066 | ING-0163,ING-0030 | ING-0032 | ING-0042 | ING-0064,NO,DC3-C_REVIEW_REQUIRED
USSR82-414,Каша вязкая с морковью,Крупы и каши,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,20,20,20,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,2,II-grain | III-grain,fat | grain,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0006 | ING-0030 | ING-0034 | ING-0035 | ING-0042,ING-0023 | ING-0030 | ING-0032 | ING-0162 | ING-0163,,ING-0023 | ING-0032 | ING-0162 | ING-0163,ING-0006 | ING-0023 | ING-0030 | ING-0032 | ING-0034 | ING-0035 | ING-0042 | ING-0162 | ING-0163,ING-0006 | ING-0032 | ING-0035 | ING-0042,ING-0023 | ING-0030 | ING-0034 | ING-0162 | ING-0163,ING-0030 | ING-0032 | ING-0034 | ING-0035 | ING-0042,NO,DC3-C_REVIEW_REQUIRED
USSR82-418,Крупеник,Крупы и каши,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,8,8,8,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,1,selected_1982_variant,,0,,SINGLE_VARIANT_NO_EXPLICIT_ALTERNATIVE,REVIEW_REQUIRED,,ING-0020 | ING-0030 | ING-0032 | ING-0042 | ING-0047 | ING-0053 | ING-0056 | ING-0071,,,,ING-0020 | ING-0030 | ING-0032 | ING-0042 | ING-0047 | ING-0053 | ING-0056 | ING-0071,ING-0020 | ING-0032 | ING-0042 | ING-0071,ING-0030 | ING-0047 | ING-0053 | ING-0056,ING-0020 | ING-0030 | ING-0032 | ING-0042 | ING-0053 | ING-0056,NO,DC3-C_REVIEW_REQUIRED
USSR82-442,Макаронные изделия отварные,Макаронные изделия,READY_RAW,DIRECT_EXISTING_MAP_LEAD,YES,1,1,1,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,1,selected_1982_variant,,0,,SINGLE_VARIANT_NO_EXPLICIT_ALTERNATIVE,REVIEW_REQUIRED,,ING-0029,,,,ING-0029,ING-0029,,ING-0029,NO,DC3-C_REVIEW_REQUIRED
USSR82-451,Макаронник,Макаронные изделия,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,17,17,21,CALC_ROWS_MATCH_V22_13_HAS_ADDITIONAL_NONCALC_RELATIONSHIPS,2,II | III,service_fat,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0006 | ING-0029 | ING-0030 | ING-0042 | ING-0053 | ING-0071,ING-0030 | ING-0032,,ING-0032 | ING-0034,ING-0006 | ING-0029 | ING-0030 | ING-0032 | ING-0034 | ING-0042 | ING-0053 | ING-0071,ING-0006 | ING-0029 | ING-0032 | ING-0042 | ING-0071,ING-0030 | ING-0034 | ING-0053,ING-0029 | ING-0030 | ING-0032 | ING-0034 | ING-0042 | ING-0053,NO,DC3-C_REVIEW_REQUIRED
USSR82-453,Яйца вареные,Блюда из яиц,READY_RAW,DIRECT_EXISTING_MAP_LEAD,YES,1,1,1,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,1,selected_1982_variant,,0,,SINGLE_VARIANT_NO_EXPLICIT_ALTERNATIVE,SIMPLE_SOURCE_BRANCH_CANDIDATE,ING-0071,ING-0071,,,,ING-0071,ING-0071,,,NO,DC3-A_CLEAN_BRANCH_EXISTING_PROFILE_REVIEW
USSR82-459,Яичница глазунья (натуральная),Блюда из яиц,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,9,9,9,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,3,I | II | III,fat,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0071,ING-0030 | ING-0032,,ING-0030 | ING-0032,ING-0030 | ING-0032 | ING-0071,ING-0032 | ING-0071,ING-0030,ING-0030 | ING-0032,NO,DC3-C_REVIEW_REQUIRED
USSR82-460,Яичница глазунья со шпиком,Блюда из яиц,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,6,6,7,CALC_ROWS_MATCH_V22_13_HAS_ADDITIONAL_NONCALC_RELATIONSHIPS,3,I | II | III,,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0069 | ING-0071,,,,ING-0069 | ING-0071,ING-0071,ING-0069,ING-0069,NO,DC3-C_REVIEW_REQUIRED
