source_shard,relationship_source,source_recipe_id,recipe_no,recipe_name,category,variant,original_ingredient_id,resolved_ingredient_id,v22_5_canonical_ingredient,original_ingredient,amount_g,amount_status,choice_group,optional,relationship_source_url,nutrient_input_eligible
russian_normative_recipes_v22_5_row_nutrients_part1.xlsx,v13_part1,USSR82-55,55,Салат из свежих огурцов,Холодные блюда,"III, сметана",ING-0037,ING-0037,Огурец свежий,Огурец свежий,810,verified_net,,NO,https://interdoka.ru/kulinaria/1982/1_holodnie_bluda/4_salati_vinegreti/4.html,YES
russian_normative_recipes_v22_5_row_nutrients_part1.xlsx,v13_part1,USSR82-55,55,Салат из свежих огурцов,Холодные блюда,"III, сметана",ING-0047,ING-0047,Сметана 30%,Сметана,200,verified_net,,NO,https://interdoka.ru/kulinaria/1982/1_holodnie_bluda/4_salati_vinegreti/4.html,YES
russian_normative_recipes_v22_5_row_nutrients_part1.xlsx,v13_part1,USSR82-58,58,Салат из свежих помидоров,Холодные блюда,"III, зеленый лук, сметана",ING-0027,ING-0027,Лук зеленый,Лук зеленый,200,verified_net,,NO,https://interdoka.ru/kulinaria/1982/1_holodnie_bluda/4_salati_vinegreti/7.html,YES
russian_normative_recipes_v22_5_row_nutrients_part1.xlsx,v13_part1,USSR82-58,58,Салат из свежих помидоров,Холодные блюда,"III, зеленый лук, сметана",ING-0047,ING-0047,Сметана 30%,Сметана,200,verified_net,,NO,https://interdoka.ru/kulinaria/1982/1_holodnie_bluda/4_salati_vinegreti/7.html,YES
russian_normative_recipes_v22_5_row_nutrients_part1.xlsx,v13_part1,USSR82-58,58,Салат из свежих помидоров,Холодные блюда,"III, зеленый лук, сметана",ING-0058,ING-0058,Томат свежий,Помидоры,610,verified_net,,NO,https://interdoka.ru/kulinaria/1982/1_holodnie_bluda/4_salati_vinegreti/7.html,YES
russian_normative_recipes_v22_5_row_nutrients_part1.xlsx,v13_part1,USSR82-59,59,Салат из свежих помидоров и огурцов,Холодные блюда,"III, зеленый лук, сметана",ING-0027,ING-0027,Лук зеленый,Лук зеленый,100,verified_net,,NO,https://interdoka.ru/kulinaria/1982/1_holodnie_bluda/4_salati_vinegreti/8.html,YES
russian_normative_recipes_v22_5_row_nutrients_part1.xlsx,v13_part1,USSR82-59,59,Салат из свежих помидоров и огурцов,Холодные блюда,"III, зеленый лук, сметана",ING-0037,ING-0037,Огурец свежий,Огурец свежий,300,verified_net,,NO,https://interdoka.ru/kulinaria/1982/1_holodnie_bluda/4_salati_vinegreti/8.html,YES
russian_normative_recipes_v22_5_row_nutrients_part1.xlsx,v13_part1,USSR82-59,59,Салат из свежих помидоров и огурцов,Холодные блюда,"III, зеленый лук, сметана",ING-0047,ING-0047,Сметана 30%,Сметана,200,verified_net,,NO,https://interdoka.ru/kulinaria/1982/1_holodnie_bluda/4_salati_vinegreti/8.html,YES
russian_normative_recipes_v22_5_row_nutrients_part1.xlsx,v13_part1,USSR82-59,59,Салат из свежих помидоров и огурцов,Холодные блюда,"III, зеленый лук, сметана",ING-0058,ING-0058,Томат свежий,Помидоры,410,verified_net,,NO,https://interdoka.ru/kulinaria/1982/1_holodnie_bluda/4_salati_vinegreti/8.html,YES
russian_normative_recipes_v22_5_row_nutrients_part1.xlsx,v13_part1,USSR82-71,71,Салат картофельный,Холодные блюда,"зеленый лук, сметана",ING-0019,ING-0019,Картофель,Картофель,840,verified_net,,NO,https://interdoka.ru/kulinaria/1982/1_holodnie_bluda/4_salati_vinegreti/20.html,YES
russian_normative_recipes_v22_5_row_nutrients_part1.xlsx,v13_part1,USSR82-71,71,Салат картофельный,Холодные блюда,"зеленый лук, сметана",ING-0027,ING-0027,Лук зеленый,Лук зеленый,170,verified_net,,NO,https://interdoka.ru/kulinaria/1982/1_holodnie_bluda/4_salati_vinegreti/20.html,YES
russian_normative_recipes_v22_5_row_nutrients_part1.xlsx,v13_part1,USSR82-71,71,Салат картофельный,Холодные блюда,"зеленый лук, сметана",ING-0047,ING-0047,Сметана 30%,Сметана,150,verified_net,,NO,https://interdoka.ru/kulinaria/1982/1_holodnie_bluda/4_salati_vinegreti/20.html,YES
russian_normative_recipes_v22_5_row_nutrients_part1.xlsx,v13_part1,USSR82-95,95,"Салат из моркови или моркови с яблоками, финиками или черносливом",Холодные блюда,II — с яблоками,ING-0035,ING-0035,Морковь,Морковь,650,verified_primary_net,,NO,,YES
