source_recipe_id,recipe_name,v22_5_candidate_rows,v22_13_calc_rows,v22_13_relationship_rows,v22_13_extra_noncalc_relationship_rows,v22_5_variant_count,v22_13_variant_blocks,compatibility_status,semantic_label_review_ids,explicit_label_conflict_example,row_level_v22_13_relationship_equivalence_proven
USSR82-463,Яичница глазунья с сыром,6,6,6,0,2,2,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0030 | ING-0055,,NO
USSR82-464,Яичница глазунья с черным хлебом,6,6,6,0,2,2,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0030,,NO
USSR82-467,Омлет (натуральный),4,4,4,0,1,1,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0030 | ING-0032 | ING-0034,,NO
USSR82-468,Омлет из яичного порошка,11,11,13,2,2,2,CALC_ROWS_MATCH_V22_13_HAS_ADDITIONAL_NONCALC_RELATIONSHIPS,ING-0030 | ING-0032 | ING-0034,,NO
USSR82-469,Омлет со шпиком,14,14,14,0,3,3,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0034 | ING-0069 | ING-0083,"ING-0069:v22.5=Шпик,v22.13=Жир кулинарный",NO
USSR82-470,Омлет с луком,17,17,20,3,2,2,CALC_ROWS_MATCH_V22_13_HAS_ADDITIONAL_NONCALC_RELATIONSHIPS,ING-0030 | ING-0032 | ING-0034 | ING-0083,,NO
USSR82-492,Сырники из творога,6,6,6,0,1,1,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0030 | ING-0036 | ING-0042 | ING-0056,,NO
USSR82-499,Запеканка из творога,7,7,7,0,1,1,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0030 | ING-0042 | ING-0053 | ING-0056,,NO
USSR82-658,"Котлеты, биточки, шницели",5,5,5,0,1,1,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0053 | ING-0063,,NO
USSR82-669,Тефтели (2-й вариант),7,7,7,0,1,1,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0036,,NO
USSR82-697,"Птица, дичь или кролик отварные с гарниром",2,2,2,0,1,1,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0025,,NO
USSR82-720,Котлеты по-киевски,5,5,5,0,1,1,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0025 | ING-0032 | ING-0063,,NO
USSR82-732,"Котлеты рубленые из птицы, дичи или кролика с гарниром",6,6,6,0,1,1,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0025 | ING-0030 | ING-0034 | ING-0053 | ING-0063 | ING-0076,,NO
USSR82-1081,Блины,7,7,7,0,1,1,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0030 | ING-0032 | ING-0036 | ING-0042 | ING-0097,,NO
