source_shard,relationship_source,source_recipe_id,recipe_no,recipe_name,category,variant,original_ingredient_id,resolved_ingredient_id,v22_5_canonical_ingredient,original_ingredient,amount_g,amount_status,choice_group,optional,relationship_source_url,nutrient_input_eligible
russian_normative_recipes_v22_5_row_nutrients_part3.xlsx,v13_part2,USSR82-340,340,Каша из тыквы,"Картофель, овощи и грибы",I,ING-0021,ING-0021,Крупа манная,Манная крупа,25,verified_primary_net,,NO,https://studopedia.net/6_116749_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part3.xlsx,v13_part2,USSR82-340,340,Каша из тыквы,"Картофель, овощи и грибы",I,ING-0030,ING-0030,Маргарин столовый,Маргарин,5,verified_primary_net,,NO,https://studopedia.net/6_116749_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part3.xlsx,v13_part2,USSR82-340,340,Каша из тыквы,"Картофель, овощи и грибы",I,ING-0030,ING-0030,Маргарин столовый,Маргарин,15,verified_primary_alternative,final_fat,NO,https://studopedia.net/6_116749_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part3.xlsx,v13_part2,USSR82-340,340,Каша из тыквы,"Картофель, овощи и грибы",I,ING-0032,ING-0032,Масло сливочное,Масло сливочное,15,verified_primary_alternative,final_fat,NO,https://studopedia.net/6_116749_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part3.xlsx,v13_part2,USSR82-340,340,Каша из тыквы,"Картофель, овощи и грибы",I,ING-0042,ING-0042,Сахар,Сахар,10,verified_primary_net,,NO,https://studopedia.net/6_116749_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part3.xlsx,v13_part2,USSR82-340,340,Каша из тыквы,"Картофель, овощи и грибы",I,ING-0145,ING-0145,Тыква,Тыква,195,verified_primary_net,,NO,https://studopedia.net/6_116749_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part3.xlsx,v13_part2,USSR82-340,340,Каша из тыквы,"Картофель, овощи и грибы",II,ING-0021,ING-0021,Крупа манная,Манная крупа,30,verified_primary_net,,NO,https://studopedia.net/6_116749_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part3.xlsx,v13_part2,USSR82-340,340,Каша из тыквы,"Картофель, овощи и грибы",II,ING-0030,ING-0030,Маргарин столовый,Маргарин,5,verified_primary_net,,NO,https://studopedia.net/6_116749_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part3.xlsx,v13_part2,USSR82-340,340,Каша из тыквы,"Картофель, овощи и грибы",II,ING-0030,ING-0030,Маргарин столовый,Маргарин,10,verified_primary_alternative,final_fat,NO,https://studopedia.net/6_116749_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part3.xlsx,v13_part2,USSR82-340,340,Каша из тыквы,"Картофель, овощи и грибы",II,ING-0032,ING-0032,Масло сливочное,Масло сливочное,10,verified_primary_alternative,final_fat,NO,https://studopedia.net/6_116749_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part3.xlsx,v13_part2,USSR82-340,340,Каша из тыквы,"Картофель, овощи и грибы",II,ING-0042,ING-0042,Сахар,Сахар,10,verified_primary_net,,NO,https://studopedia.net/6_116749_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part3.xlsx,v13_part2,USSR82-340,340,Каша из тыквы,"Картофель, овощи и грибы",II,ING-0145,ING-0145,Тыква,Тыква,235,verified_primary_net,,NO,https://studopedia.net/6_116749_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part3.xlsx,v13_part2,USSR82-340,340,Каша из тыквы,"Картофель, овощи и грибы",III,ING-0021,ING-0021,Крупа манная,Манная крупа,30,verified_primary_net,,NO,https://studopedia.net/6_116749_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part3.xlsx,v13_part2,USSR82-340,340,Каша из тыквы,"Картофель, овощи и грибы",III,ING-0030,ING-0030,Маргарин столовый,Маргарин,5,verified_primary_net,,NO,https://studopedia.net/6_116749_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part3.xlsx,v13_part2,USSR82-340,340,Каша из тыквы,"Картофель, овощи и грибы",III,ING-0030,ING-0030,Маргарин столовый,Маргарин,5,verified_primary_alternative,final_fat,NO,https://studopedia.net/6_116749_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part3.xlsx,v13_part2,USSR82-340,340,Каша из тыквы,"Картофель, овощи и грибы",III,ING-0032,ING-0032,Масло сливочное,Масло сливочное,5,verified_primary_alternative,final_fat,NO,https://studopedia.net/6_116749_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part3.xlsx,v13_part2,USSR82-340,340,Каша из тыквы,"Картофель, овощи и грибы",III,ING-0042,ING-0042,Сахар,Сахар,10,verified_primary_net,,NO,https://studopedia.net/6_116749_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
