external_ingredient_id,v22_13_external_name,v22_5_canonical_labels,v22_5_original_labels,external_exactness_tier,map_state,familyfoodos_food_code,mapping_confidence,candidate_recipe_count,candidate_recipe_ids,candidate_row_count,candidate_input_mass_g,simple_candidate_recipe_count,simple_candidate_recipe_ids,semantic_compatibility_status,accepted_identity_mapping_status,current_profile_presence_status,profile_suitability_for_recipe_form,authority_source_candidate,authority_record_candidate,authority_assignment_status,authority_search_strategy,rights_status,production_ready,proposed_dc2_batch
ING-0022,Крупа перловая,Крупа перловая,Крупа перловая,A_REFERENCE,EXACT_EXISTING,BARLEY_PEARLED,HIGH,2,USSR82-259 | USSR82-264,5,320,0,,LABEL_MATCH_OR_COMPATIBLE_TEXT,REUSE_ACCEPTED_MAPPING,PRESENT_IN_REQUIRED_PRODUCTION_SEED,PROFILE_PRESENT_FORM_REVIEW_REQUIRED,USDA_FDC:170284@2018-04:SR Legacy,170284,EXISTING_PROFILE_PROVENANCE_IDENTIFIED_FORM_REVIEW_REQUIRED,,OPEN_REUSE_CURRENT_PROFILE,NO,REUSE_EXISTING_PROFILE_FORM_REVIEW
ING-0023,Крупа пшенная,Крупа пшенная,Крупа пшенная | Пшено | Пшено или крупа пшеничная,A_REFERENCE,FORM_SPLIT_CANDIDATE,,HIGH,5,USSR82-259 | USSR82-260 | USSR82-412 | USSR82-413 | USSR82-414,13,698,0,,LABEL_MATCH_OR_COMPATIBLE_TEXT,NO_ACCEPTED_FAMILYFOODOS_IDENTITY_YET,NOT_APPLICABLE_NO_ACCEPTED_FOOD_MAPPING,NOT_APPLICABLE_NO_ACCEPTED_PROFILE,,,BLOCKED_FORM_SELECTION_BEFORE_AUTHORITY,SELECT_EXACT_FORM_THEN_ASSIGN_AUTHORITY,UNRESOLVED_UNTIL_FORM_SELECTION,NO,DC2-C_IDENTITY_FORM_REVIEW
ING-0024,Крупа рисовая,Крупа рисовая,Крупа рисовая,A_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,7,USSR82-208 | USSR82-259 | USSR82-282 | USSR82-346 | USSR82-412 | USSR82-413 | USSR82-669,14,588,0,,LABEL_MATCH_OR_COMPATIBLE_TEXT,NO_ACCEPTED_FAMILYFOODOS_IDENTITY_YET,NOT_APPLICABLE_NO_ACCEPTED_FOOD_MAPPING,NOT_APPLICABLE_NO_ACCEPTED_PROFILE,,,BLOCKED_FORM_SELECTION_BEFORE_AUTHORITY,SELECT_EXACT_FORM_THEN_ASSIGN_AUTHORITY,UNRESOLVED_UNTIL_FORM_SELECTION,NO,DC2-C_IDENTITY_FORM_REVIEW
ING-0025,Куры I категории,Курица,Курица,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,4,USSR82-101 | USSR82-697 | USSR82-720 | USSR82-732,4,306,0,,V22_5_V22_13_LABEL_DIFFERENCE_REVIEW_REQUIRED,NO_ACCEPTED_FAMILYFOODOS_IDENTITY_YET,NOT_APPLICABLE_NO_ACCEPTED_FOOD_MAPPING,NOT_APPLICABLE_NO_ACCEPTED_PROFILE,,,BLOCKED_IDENTITY_SEMANTICS_BEFORE_AUTHORITY,RESOLVE_IDENTITY_SEMANTICS_THEN_ASSIGN_AUTHORITY,UNRESOLVED_UNTIL_IDENTITY_REVIEW,NO,DC2-C_IDENTITY_FORM_REVIEW
ING-0026,Лимон,Лимон,Лимон,A_REFERENCE,EXACT_EXISTING,LEMON,HIGH,1,USSR82-312,2,24,0,,LABEL_MATCH_OR_COMPATIBLE_TEXT,REUSE_ACCEPTED_MAPPING,PRESENT_IN_REQUIRED_PRODUCTION_SEED,PROFILE_PRESENT_FORM_REVIEW_REQUIRED,USDA_FDC:167746@2018-04:SR Legacy,167746,EXISTING_PROFILE_PROVENANCE_IDENTIFIED_FORM_REVIEW_REQUIRED,,OPEN_REUSE_CURRENT_PROFILE,NO,REUSE_EXISTING_PROFILE_FORM_REVIEW
ING-0027,Лук зеленый,Лук зеленый,Лук зеленый,A_REFERENCE,EXACT_EXISTING,GREEN_ONION,HIGH,7,USSR82-312 | USSR82-374 | USSR82-461 | USSR82-470 | USSR82-58 | USSR82-59 | USSR82-71,12,686,3,USSR82-58 | USSR82-59 | USSR82-71,LABEL_MATCH_OR_COMPATIBLE_TEXT,REUSE_ACCEPTED_MAPPING,PRESENT_IN_REQUIRED_PRODUCTION_SEED,PROFILE_PRESENT_FORM_REVIEW_REQUIRED,USDA_FDC:170005@2018-04:SR Legacy,170005,EXISTING_PROFILE_PROVENANCE_IDENTIFIED_FORM_REVIEW_REQUIRED,,OPEN_REUSE_CURRENT_PROFILE,NO,REUSE_EXISTING_PROFILE_FORM_REVIEW
ING-0028,Лук репчатый,Лук репчатый,Лук | Лук репчатый,A_REFERENCE,ALIAS_EXISTING,ONION_YELLOW,HIGH,11,USSR82-184 | USSR82-208 | USSR82-265 | USSR82-287 | USSR82-296 | USSR82-324 | USSR82-374 | USSR82-461 | USSR82-470 | USSR82-669 | USSR82-697,21,844,0,,LABEL_MATCH_OR_COMPATIBLE_TEXT,REUSE_ACCEPTED_MAPPING,PRESENT_IN_REQUIRED_PRODUCTION_SEED,PROFILE_PRESENT_FORM_REVIEW_REQUIRED,USDA_FDC:790646@2026-04-30:Foundation,790646,EXISTING_PROFILE_PROVENANCE_IDENTIFIED_FORM_REVIEW_REQUIRED,,OPEN_REUSE_CURRENT_PROFILE,NO,REUSE_EXISTING_PROFILE_FORM_REVIEW
ING-0029,Макаронные изделия в/с,Макаронные изделия,Макаронные изделия | Макароны сухие | Макароны/лапша/домашняя лапша/вермишель/фигурные изделия,A_REFERENCE,ALIAS_EXISTING,PASTA_DRY,HIGH,3,USSR82-258 | USSR82-442 | USSR82-451,6,745,0,,V22_5_V22_13_LABEL_DIFFERENCE_REVIEW_REQUIRED,REUSE_ACCEPTED_MAPPING,PRESENT_IN_REQUIRED_PRODUCTION_SEED,PROFILE_PRESENT_FORM_REVIEW_REQUIRED,USDA_FDC:168927@2018-04:SR Legacy,168927,EXISTING_PROFILE_PROVENANCE_IDENTIFIED_FORM_REVIEW_REQUIRED,,OPEN_REUSE_CURRENT_PROFILE,NO,REUSE_EXISTING_PROFILE_FORM_REVIEW
ING-0030,Маргарин молочный,Маргарин столовый,Маргарин | Маргарин для жарки картофеля | Маргарин для лука | Маргарин для омлета | Маргарин для помидоров | Маргарин для приготовления | Маргарин для яичницы | Маргарин при отпуске | Маргарин столовый | Маргарин столовый для выпечки | Маргарин столовый для моркови | Маргарин столовый при отпуске,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,27,USSR82-1081 | USSR82-208 | USSR82-324 | USSR82-340 | USSR82-346 | USSR82-351 | USSR82-355 | USSR82-361 | USSR82-365 | USSR82-374 | USSR82-380 | USSR82-412 | USSR82-413 | USSR82-414 | USSR82-418 | USSR82-451 | USSR82-459 | USSR82-461 | USSR82-462 | USSR82-463 | USSR82-464 | USSR82-467 | USSR82-468 | USSR82-470 | USSR82-492 | USSR82-499 | USSR82-732,81,770,0,,V22_5_V22_13_LABEL_DIFFERENCE_REVIEW_REQUIRED,NO_ACCEPTED_FAMILYFOODOS_IDENTITY_YET,NOT_APPLICABLE_NO_ACCEPTED_FOOD_MAPPING,NOT_APPLICABLE_NO_ACCEPTED_PROFILE,,,BLOCKED_IDENTITY_SEMANTICS_BEFORE_AUTHORITY,RESOLVE_IDENTITY_SEMANTICS_THEN_ASSIGN_AUTHORITY,UNRESOLVED_UNTIL_IDENTITY_REVIEW,NO,DC2-C_IDENTITY_FORM_REVIEW
ING-0032,Масло сливочное несоленое,Масло сливочное,Масло сливочное | Масло сливочное или маргарин столовый | Масло сливочное при отпуске,A_REFERENCE,EXACT_EXISTING,BUTTER_UNSALTED,HIGH,31,USSR82-1081 | USSR82-258 | USSR82-259 | USSR82-260 | USSR82-261 | USSR82-263 | USSR82-264 | USSR82-282 | USSR82-283 | USSR82-288 | USSR82-296 | USSR82-323 | USSR82-324 | USSR82-325 | USSR82-326 | USSR82-328 | USSR82-340 | USSR82-355 | USSR82-361 | USSR82-364 | USSR82-365 | USSR82-412 | USSR82-413 | USSR82-414 | USSR82-418 | USSR82-451 | USSR82-459 | USSR82-467 | USSR82-468 | USSR82-470 | USSR82-720,68,748,0,,V22_5_V22_13_LABEL_DIFFERENCE_REVIEW_REQUIRED,REUSE_ACCEPTED_MAPPING,PRESENT_IN_REQUIRED_PRODUCTION_SEED,PROFILE_PRESENT_FORM_REVIEW_REQUIRED,USDA_FDC:173430@2018-04:SR Legacy,173430,EXISTING_PROFILE_PROVENANCE_IDENTIFIED_FORM_REVIEW_REQUIRED,,OPEN_REUSE_CURRENT_PROFILE,NO,REUSE_EXISTING_PROFILE_FORM_REVIEW
